3_dig_zip,2014_accpt_loans,2014_rejected_loans,2014_Total_loans_considered,2014_pct_accepted
670,118,1020.0,1138.0,0.10369068541300527
671,82,579.0,661.0,0.12405446293494705
672,293,2482.0,2775.0,0.10558558558558559
673,28,416.0,444.0,0.06306306306306306
674,81,716.0,797.0,0.10163111668757842
675,76,554.0,630.0,0.12063492063492064
676,42,283.0,325.0,0.12923076923076923
677,22,163.0,185.0,0.11891891891891893
678,80,562.0,642.0,0.12461059190031153
679,19,166.0,185.0,0.10270270270270271
680,1,44.0,45.0,0.022222222222222223
681,2,196.0,198.0,0.010101010101010102
682,1,5.0,6.0,0.16666666666666666
685,1,79.0,80.0,0.0125
700,397,4637.0,5034.0,0.0788637266587207
701,252,3015.0,3267.0,0.07713498622589532
703,174,2125.0,2299.0,0.07568508046976946
704,278,2818.0,3096.0,0.08979328165374677
705,369,4170.0,4539.0,0.08129543952412426
706,131,1812.0,1943.0,0.06742151312403499
707,312,2629.0,2941.0,0.10608636518191092
708,252,2752.0,3004.0,0.08388814913448735
710,95,1068.0,1163.0,0.08168529664660361
711,190,2432.0,2622.0,0.07246376811594203
712,146,2150.0,2296.0,0.06358885017421603
713,81,1294.0,1375.0,0.05890909090909091
714,88,1320.0,1408.0,0.0625
716,89,1242.0,1331.0,0.06686701728024042
717,52,821.0,873.0,0.05956471935853379
718,45,742.0,787.0,0.05717916137229987
719,87,1113.0,1200.0,0.0725
720,290,3068.0,3358.0,0.08636092912447886
721,216,2268.0,2484.0,0.08695652173913043
722,152,1628.0,1780.0,0.0853932584269663
